product_id,product_name,category,brand,price,mrp,margin_percentage,shelf_life_days,min_stock_level,max_stock_level,Discount %
153019,Onions,Fruits & Vegetables,Aurora LLC,947.95,1263.93,25,3,13,88,25
11422,Potatoes,Fruits & Vegetables,Ramaswamy-Tata,127.16,169.55,25,3,20,65,25
669378,Potatoes,Fruits & Vegetables,Chadha and Sons,212.14,282.85,25,3,23,70,25
848226,Tomatoes,Fruits & Vegetables,Barad and Sons,209.59,279.45,25,3,10,51,25
890623,Onions,Fruits & Vegetables,"Sangha, Nagar and Varty",354.52,472.69,25,3,27,55,25
965755,Bananas,Fruits & Vegetables,"Doshi, Sarraf and Sama",532.57,710.09,25,3,21,91,25
222892,Tomatoes,Fruits & Vegetables,Ramakrishnan-Ghose,869.22,1158.96,25,3,28,88,25
516376,Onions,Fruits & Vegetables,Agarwal-Dhar,877.43,1169.91,25,3,21,71,25
39154,Mangoes,Fruits & Vegetables,"Suresh, Bose and Bajwa",946.86,1262.48,25,3,21,84,25
34186,Mangoes,Fruits & Vegetables,Mandal-Kar,925.65,1234.2,25,3,27,74,25
196719,Bananas,Fruits & Vegetables,Yogi Group,217.5,290,25,3,15,91,25
478531,Carrots,Fruits & Vegetables,Uppal Group,825.46,1100.61,25,3,24,90,25
812607,Potatoes,Fruits & Vegetables,Rege Group,416.65,555.53,25,3,11,63,25
818990,Tomatoes,Fruits & Vegetables,Dugar Group,163.55,218.07,25,3,22,92,25
14145,Spinach,Fruits & Vegetables,"Thakur, Shah and Pingle",630.84,841.12,25,3,14,53,25
349294,Onions,Fruits & Vegetables,Ganesan Ltd,934.75,1246.33,25,3,25,70,25
847349,Potatoes,Fruits & Vegetables,Chhabra-Agrawal,781.08,1041.44,25,3,26,69,25
871592,Carrots,Fruits & Vegetables,"Shankar, Nadkarni and Kumer",870.29,1160.39,25,3,25,50,25
284460,Potatoes,Fruits & Vegetables,"Ramakrishnan, Anand and Khare",505.95,674.6,25,3,21,85,25
473929,Carrots,Fruits & Vegetables,"Bhardwaj, Bhatia and Deshmukh",440.19,586.92,25,3,19,70,25
77308,Onions,Fruits & Vegetables,Ratta-Sagar,223.27,297.69,25,3,29,91,25
654297,Potatoes,Fruits & Vegetables,Chandran-Dass,13.25,17.67,25,3,20,86,25.01
70969,Carrots,Fruits & Vegetables,Mohan Group,631.7,842.27,25,3,25,96,25
552883,Potatoes,Fruits & Vegetables,"Balan, Patel and Mall",888.16,1184.21,25,3,18,94,25
952124,Onions,Fruits & Vegetables,"Wali, Sood and Bala",127.08,169.44,25,3,15,50,25
397973,Bananas,Fruits & Vegetables,"Wable, Randhawa and Mutti",728.73,971.64,25,3,27,82,25
555121,Carrots,Fruits & Vegetables,"Subramanian, Chaudhuri and Dora",354.91,473.21,25,3,30,67,25
818522,Cheese,Dairy & Breakfast,Hora-Roy,96.09,120.11,20,7,12,90,20
462526,Curd,Dairy & Breakfast,Pau and Sons,449.97,562.46,20,7,25,69,20
376447,Butter,Dairy & Breakfast,Gara and Sons,724.84,906.05,20,7,17,64,20
217710,Eggs,Dairy & Breakfast,Rout-Sarna,58.59,73.24,20,7,19,53,20
146840,Bread,Dairy & Breakfast,"Bains, Deol and Vaidya",786.85,983.56,20,7,19,89,20
89084,Milk,Dairy & Breakfast,"Wali, Virk and Iyer",598.83,748.54,20,7,27,74,20
888807,Bread,Dairy & Breakfast,Arya Group,230.58,288.23,20,7,13,91,20
136533,Eggs,Dairy & Breakfast,"Raghavan, Magar and Shanker",826.21,1032.76,20,7,15,75,20
714999,Bread,Dairy & Breakfast,Kala Group,882.51,1103.14,20,7,27,81,20
382511,Butter,Dairy & Breakfast,Bora-Thakkar,702.54,878.17,20,7,26,88,20
15314,Cheese,Dairy & Breakfast,Banik-Ratta,578.85,723.56,20,7,30,91,20
67197,Butter,Dairy & Breakfast,Shetty-Bora,552.2,690.25,20,7,20,79,20
880510,Bread,Dairy & Breakfast,Roy-Char,951.43,1189.29,20,7,29,54,20
41853,Curd,Dairy & Breakfast,Handa PLC,910.44,1138.05,20,7,14,92,20
